Run ID	Sample ID	Bacteria (2)	Archaea (2157)	Phi X-174 (Spike) (10847)	Lentivirus (HIV) (11646)	Papillomaviridae (151340)	Other viruses (10239)
HPV_150123_run01	KHCA-056	0.9497206703910615	0.0111731843575419	0.002793296089385475	0.0	0.0	0.036312849162011177
HPV_150123_run01	KHCA-073	0.9183673469387755	0.017857142857142856	0.0	0.0	0.0	0.06377551020408163
HPV_150123_run01	KHCA-075	0.029863855950812472	0.00010979358805445762	0.00010979358805445762	0.0	0.9664031620553359	0.003513394817742644
HPV_150123_run01	KHCA-078	0.9273182957393483	0.010025062656641603	0.012531328320802004	0.0	0.005012531328320802	0.045112781954887216
HPV_150123_run01	KHCA-082	0.8398692810457516	0.029411764705882353	0.006535947712418301	0.0	0.0	0.12418300653594772
HPV_150123_run01	KHCA-092	0.9770679770679771	0.0036855036855036856	0.0012285012285012285	0.0	0.0	0.018018018018018018
HPV_150123_run01	KHCA-098	0.37453183520599254	0.011235955056179775	0.0	0.0	0.5318352059925093	0.08239700374531835
HPV_150123_run01	KHCA-100	0.9518477043673013	0.007838745800671893	0.0	0.0	0.0	0.040313549832026875
HPV_150123_run01	KHCA-103	0.4983108108108108	0.010135135135135136	0.0016891891891891893	0.0	0.33952702702702703	0.15033783783783783
HPV_150123_run01	KHCA-105	0.9452380952380952	0.008333333333333333	0.004761904761904762	0.0	0.014285714285714285	0.02738095238095238
HPV_150123_run01	KHCA-117	0.9937052311699588	0.001302365964836119	0.00021706099413935315	0.0	0.0	0.00477534187106577
HPV_150123_run01	KHCA-123	0.5825314581791265	0.008882309400444115	0.0007401924500370096	0.0	0.39008142116950406	0.01776461880088823
HPV_150123_run01	KHCA-133	0.9329896907216495	0.010309278350515464	0.002577319587628866	0.0	0.0	0.05412371134020619
HPV_150123_run01	KHCA-135	0.949309973758236	0.0064754856614246065	1.887896694292888e-05	0.0	0.04362929260510865	0.0005663690082878665
HPV_150123_run01	KHCA-136	0.313666162380232	0.005042864346949067	0.0010085728693898135	0.0	0.6676752395360565	0.012607160867372668
HPV_150123_run01	HVP-110	0.978340825500613	0.005721291377196567	0.0012259910093992644	0.0	0.004903964037597058	0.009807928075194115
HPV_150123_run01	Undetermined	0.164951065054692	0.0021288300390200215	0.7163129277809761	0.0	0.00028145589458197404	0.11632572123072987
HPV_150123_run01	KHCA-025	0.984746639089969	0.005170630816959669	0.0	0.0	0.0002585315408479835	0.00982419855222337
HPV_150123_run01	KHCA-029	0.6855895196506551	0.021834061135371178	0.004366812227074236	0.0	0.08733624454148471	0.20087336244541484
HPV_150123_run01	KHCA-030	0.9796747967479674	0.007317073170731708	0.0008130081300813008	0.0	0.0	0.012195121951219513
HPV_150123_run01	KHCA-037	0.8339100346020761	0.01730103806228374	0.0034602076124567475	0.0	0.07958477508650519	0.0657439446366782
HPV_150123_run01	KHCA-064	0.06335797254487856	0.0010559662090813093	0.0	0.0	0.9218585005279831	0.013727560718057022
HPV_250523_run02	KHCA116	0.8428571428571429	0.02857142857142857	0.05714285714285714	0.0	0.05	0.02142857142857143
HPV_250523_run02	KHCA146	0.9214501510574018	0.012084592145015106	0.0	0.0	0.0030211480362537764	0.0634441087613293
HPV_250523_run02	KHCA147	0.9388489208633094	0.017985611510791366	0.0035971223021582736	0.0	0.0	0.039568345323741004
HPV_250523_run02	KHCA148	0.9446153846153846	0.006153846153846154	0.0	0.0	0.009230769230769232	0.04
HPV_250523_run02	KHCA149	0.4523809523809524	0.020833333333333332	0.0	0.0	0.5059523809523809	0.020833333333333332
HPV_250523_run02	KHCA151	0.7695330559408229	0.0006934812760055479	0.0	0.0	0.2207582061950994	0.009015256588072122
HPV_250523_run02	KHCA152	0.5037037037037037	0.014814814814814815	0.0	0.0	0.3333333333333333	0.14814814814814814
HPV_250523_run02	KHCA162	0.8772727272727273	0.013636363636363636	0.013636363636363636	0.0	0.0	0.09545454545454546
HPV_250523_run02	KHCA164	0.7185430463576159	0.006622516556291391	0.0	0.0	0.2251655629139073	0.04966887417218543
HPV_250523_run02	KHCA166	0.8789237668161435	0.008968609865470852	0.0	0.0	0.09417040358744394	0.017937219730941704
