run_id	sample	strain	avg_cov_depth	avg_cov_breadth	E6_avg_cov_depth	E6_cov_breadth	E7_avg_cov_depth	E7_cov_breadth
HPV_11092024	KHCA-152	HPV16	237.73577030103718	0.9998735137869972	57.17763157894737	1.0	20.276094276094277	1.0
HPV_11092024	KHCA-149	HPV16	9084.630280799392	1.0	2372.0855263157896	1.0	979.8316498316499	1.0
HPV_11092024	KHCA-186	HPV16	3397.057930685555	1.0	724.3070175438596	1.0	313.85185185185185	1.0
HPV_11092024	KHCA-186	HPV70	1655.904870335231	0.9483870967741935	42.54716981132076	1.0	3.7484848484848485	0.6090909090909091
HPV_11092024	KHCA-186	HPV30	466.65690269994906	1.0	368.0995670995671	1.0	318.9811320754717	1.0
HPV_11092024	KHCA-075	HPV18	13540.981163293878	1.0	2033.748427672956	1.0	11761.374213836478	1.0
HPV_11092024	KHCA-213	HPV18	3272.0089092528956	0.9803996436298842	497.1656184486373	0.939203354297694	2596.874213836478	1.0
HPV_11092024	KHCA-229	HPV18	2416.1597301769125	0.9742904416443935	309.1069182389937	0.8574423480083857	1981.8427672955975	1.0
HPV_11092024	KHCA-237	HPV18	4755.803741886216	0.9996181748759069	741.3522012578617	1.0	3904.5188679245284	1.0
HPV_11092024	Undetermined	HPV91	9.233366808937987	0.7687672608586492	9.923076923076923	1.0	25.60942760942761	1.0
HPV_11092024	Undetermined	HPV16	3256.684290412345	1.0	915.7149122807018	1.0	405.016835016835	1.0
HPV_11092024	Undetermined	HPV33	8.484890630926792	0.5869262865090403	1.3711111111111112	0.4688888888888889	0.0	0.0
HPV_11092024	Undetermined	HPV70	57.63466160657811	0.6555344718532574	1.849056603773585	0.2180293501048218	0.3151515151515151	0.31212121212121213
HPV_11092024	Undetermined	HPV18	792.6408298332697	0.9786177930507828	131.49895178197065	0.9371069182389937	697.0503144654089	1.0
HPV_11092024	Undetermined	HPV30	17.086984207845134	0.9998726439123791	13.194805194805195	1.0	12.650943396226415	1.0
HPV_11092024	KHCA-298	HPV91	265.6865428069294	0.9330906351995983	281.5940170940171	1.0	757.1548821548821	1.0
HPV_11092024	KHCA-298	HPV16	24482.69251201619	1.0	6286.3640350877195	1.0	2440.4915824915824	1.0
HPV_11092024	KHCA-064	HPV31	31.167593528816987	0.6562184024266936	8.624444444444444	0.6733333333333333	19.636363636363637	1.0
HPV_11092024	KHCA-064	HPV16	27417.72413356944	1.0	8129.565789473684	1.0	3421.973063973064	1.0
HPV_11092024	KHCA-064	HPV33	266.603236818814	0.8577569857124795	35.56444444444445	0.8133333333333334	0.5170068027210885	0.5170068027210885
HPV_11092024	KHCA-306	HPV16	24278.075259296736	1.0	7287.230263157895	1.0	3437.86531986532	1.0
