Run ID	Sample ID	Bacteria (2)	Archaea (2157)	Phi X-174 (Spike) (10847)	Lentivirus (HIV) (11646)	Papillomaviridae (151340)	Other viruses (10239)
HPV_11092024	KHCA-204	0.44250363901018924	0.002547307132459971	0.0	0.0	0.386098981077147	0.16885007278020378
HPV_11092024	KHCA-229	0.006933872350224519	0.0001023449793391073	0.0	0.0	0.8184144204075888	0.17454936226284748
HPV_11092024	KHCA-078	0.8177618069815195	0.002053388090349076	0.0	0.0	0.06930184804928131	0.11088295687885011
HPV_11092024	KHCA-082	0.9038718291054739	0.012016021361815754	0.0	0.0006675567423230974	0.019359145527369826	0.06408544726301736
HPV_11092024	Undetermined	0.011033363889969729	7.254453245048835e-05	0.2518548317956091	0.0	0.7311697476109766	0.005869512170994058
HPV_11092024	KHCA-328	0.37980535279805355	0.00291970802919708	0.0	0.0	0.008029197080291971	0.6092457420924574
HPV_11092024	KHCA-056	0.9716677398583387	0.004507405022537025	0.0	0.0	0.0038634900193174502	0.019961365099806824
HPV_11092024	KHCA-213	0.008194138039710053	4.085396458544899e-05	0.0	0.0	0.9912280701754386	0.0005369378202659009
HPV_11092024	KHCA-092	0.8032209360845496	0.004529441368897836	0.0	0.003019627579265224	0.020130850528434826	0.16909914443885254
HPV_11092024	KHCA-237	0.014610782241853052	2.775453885833687e-05	0.0	0.0	0.9852306203932422	0.00013084282604644524
HPV_11092024	KHCA-149	0.0014780079417195532	2.6760589474030905e-05	0.0	0.0	0.9858601162232986	0.012635115245507823
HPV_11092024	KHCA-075	0.0028942786664379	8.43813022285102e-06	0.0	0.0	0.997005870125925	9.141307741421938e-05
HPV_11092024	KHCA-152	0.06633560628520604	0.0003705899792469612	0.0	0.0	0.928772605988734	0.004521197746812926
HPV_11092024	KHCA-064	0.003132688073481833	8.839797038260002e-06	0.0	0.0	0.9961594481790698	0.0006990239504100986
HPV_11092024	KHCA-306	0.0008536121127636332	5.427143314573508e-06	0.0	0.0	0.9991045213530954	3.643939082642212e-05
HPV_11092024	KHCA-298	0.0035764456729179247	0.0002290745690819116	0.0	0.0	0.98952401035235	0.006670469405650101
HPV_11092024	KHCA-186	0.15088567102671813	0.00023621688694602872	0.0	0.0	0.8462484204774428	0.002629691608893139
