Run ID	Sample ID	Homo sapiens (9606)	Bacteria (2)	Archaea (2157)	Phi X-174 (Spike) (10847)	Lentivirus (HIV) (11646)	Papillomaviridae (151340)	Other viruses (10239)
HPV_150123_run01	KHCA-056	0.9995729600192764	0.00040556869677656383	4.771396432665457e-06	1.1928491081663643e-06	0.0	0.0	1.5507038406162737e-05
HPV_150123_run01	KHCA-073	0.9994838261126049	0.0004740372435260997	9.217390846340828e-06	0.0	0.0	0.0	3.291925302264581e-05
HPV_150123_run01	KHCA-075	0.9886240296764444	0.0003397303390433843	1.249008599424207e-06	1.249008599424207e-06	0.0	0.010993773692131871	3.9968275181574624e-05
HPV_150123_run01	KHCA-078	0.9995558202574907	0.0004118960018257012	4.45292974946704e-06	5.5661621868338e-06	0.0	2.22646487473352e-06	2.003818387260168e-05
HPV_150123_run01	KHCA-082	0.9997135440313716	0.00024058556842319095	8.425175547893847e-06	1.8722612328652992e-06	0.0	0.0	3.557296342444069e-05
HPV_150123_run01	KHCA-092	0.9968891521602048	0.0030395098057949413	1.1465041178606233e-05	3.821680392868744e-06	0.0	0.0	5.6051312428741585e-05
HPV_150123_run01	KHCA-098	0.9996428638308004	0.00013375886486876917	4.012765946063075e-06	0.0	0.0	0.00018993758811365223	2.942695027112922e-05
HPV_150123_run01	KHCA-100	0.9990594901446573	0.0008952221467427079	7.372417679057594e-06	0.0	0.0	0.0	3.791529092086763e-05
HPV_150123_run01	KHCA-103	0.9994125253174795	0.0002927449853776361	5.9541352958163264e-06	9.923558826360545e-07	0.0	0.00019946353240984696	8.831967355460885e-05
HPV_150123_run01	KHCA-105	0.999053999722957	0.0008941954999667774	7.883335642024486e-06	4.504763224013992e-06	0.0	1.3514289672041975e-05	2.5902388538080453e-05
HPV_150123_run01	KHCA-117	0.9942703280849687	0.005693604954854116	7.462129691814044e-06	1.2436882819690074e-06	0.0	0.0	2.736114220331816e-05
HPV_150123_run01	KHCA-123	0.998478521361515	0.0008863091698650378	1.3514244013189903e-05	1.1261870010991584e-06	0.0	0.0005935005495792565	2.7028488026379805e-05
HPV_150123_run01	KHCA-133	0.999547365093216	0.0004223037016902647	4.666339245196295e-06	1.1665848112990738e-06	0.0	0.0	2.449828103728055e-05
HPV_150123_run01	KHCA-135	0.9209585431147429	0.0750348433615562	0.000511831820718594	1.4922210516577083e-06	0.0	0.003448522850380964	4.476663154973125e-05
HPV_150123_run01	KHCA-136	0.9978211951672944	0.0006834173504502644	1.0987417209811324e-05	2.1974834419622647e-06	0.0	0.0014547340385790194	2.746854302452831e-05
HPV_150123_run01	HVP-110	0.9974995887145311	0.0024462544411166937	1.4305581526998208e-05	3.0654817557853305e-06	0.0	1.2261927023141322e-05	2.4523854046282644e-05
HPV_150123_run01	Undetermined	0.3246920875839761	0.1113927593928838	0.0014376157695391335	0.4837317878963811	0.0	0.00019006939260733736	0.07855567996461253
HPV_150123_run01	KHCA-025	0.9954706676549698	0.0044602448040899825	2.3419505403465383e-05	0.0	0.0	1.1709752701732692e-06	4.449706026658423e-05
HPV_150123_run01	KHCA-029	0.9997256946274478	0.00018806088860566628	5.989200274065804e-06	1.197840054813161e-06	0.0	2.3956801096263218e-05	5.51006425214054e-05
HPV_150123_run01	KHCA-030	0.9985122935353711	0.0014574685283559271	1.0885657058260036e-05	1.2095174509177818e-06	0.0	0.0	1.8142761763766727e-05
HPV_150123_run01	KHCA-037	0.9996389463229369	0.000301086284332894	6.246603409396141e-06	1.2493206818792282e-06	0.0	2.873437568322225e-05	2.3737092955705335e-05
HPV_150123_run01	KHCA-064	0.9961747625888819	0.0002423592868712628	4.03932144785438e-06	0.0	0.0	0.0035263276239768737	5.2511178822106935e-05
HPV_250523_run02	KHCA116	0.9995245501905196	0.0004007362679906812	1.3584280270870549e-05	2.7168560541741097e-05	0.0	2.377249047402346e-05	1.0188210203152911e-05
HPV_250523_run02	KHCA146	0.9995965377822255	0.0003717703215142876	4.8756763477283615e-06	0.0	0.0	1.2189190869320904e-06	2.55973008255739e-05
HPV_250523_run02	KHCA147	0.9997125982257593	0.0002698268456001166	5.169096659006066e-06	1.033819331801213e-06	0.0	0.0	1.1372012649813343e-05
HPV_250523_run02	KHCA148	0.99963889290119	0.00034110732102976635	2.222197531138543e-06	0.0	0.0	3.3332962967078142e-06	1.4444283952400529e-05
HPV_250523_run02	KHCA149	0.9996190506424553	0.00017233423317502015	7.936444948849612e-06	0.0	0.0	0.00019274223447206202	7.936444948849612e-06
HPV_250523_run02	KHCA151	0.9969316080544225	0.0023612290307044887	2.1278723617042554e-06	0.0	0.0	0.000677372701809188	2.766234070215532e-05
