run_id	sample	strain	mean_coverage_depth	coverage_breadth
HPV_150123_run01	HVP-110	HPV34_E6	2.0089485458612977	0.9776286353467561
HPV_150123_run01	KHCA-029	HPV90_E6	0.6711409395973155	0.6711409395973155
HPV_150123_run01	KHCA-064	HPV31_E6	1.2222222222222223	0.6511111111111111
HPV_150123_run01	KHCA-064	HPV16_E6	68.46271929824562	1.0
HPV_150123_run01	KHCA-075	HPV18_E6	217.52410901467505	1.0
HPV_150123_run01	KHCA-098	HPV90_E6	0.9977628635346756	0.4988814317673378
HPV_150123_run01	KHCA-136	HPV71_E6	30.662192393736017	1.0
HPV_150123_run01	Undetermined	HPV71_E6	0.5682326621923938	0.5682326621923938
HPV_150123_run01	Undetermined	HPV18_E6	1.209643605870021	0.8490566037735849
HPV_160823_run03	HPV019	HPV90_E6	56.07606263982103	1.0
HPV_160823_run03	HPV019	HPV158_E6	0.35697399527186763	0.35697399527186763
HPV_160823_run03	KHCA-229	HPV18_E6	1.050314465408805	0.6561844863731656
HPV_160823_run03	KHCA-237	HPV18_E6	2.006289308176101	0.8658280922431866
HPV_160823_run03	KHCA-263	HPV52_E6	1.0111856823266219	0.5525727069351231
HPV_160823_run03	KHCA-289	HPV56_E6	141.38675213675214	0.9978632478632479
HPV_160823_run03	KHCA-298	HPV91_E6	0.9636752136752137	0.6773504273504274
HPV_160823_run03	KHCA-298	HPV16_E6	15.642543859649123	0.9736842105263158
HPV_160823_run03	KHCA-306	HPV16_E6	24.18859649122807	0.9956140350877193
HPV_160823_run03	KHCA-330	HPV39_E6	1.8846960167714886	0.660377358490566
HPV_160823_run03	KHCA-332	HPV16_E6	0.44298245614035087	0.22149122807017543
HPV_160823_run03	Undetermined	HPV90_E6	0.33557046979865773	0.33557046979865773
HPV_160823_run03	Undetermined	HPV56_E6	0.32264957264957267	0.32264957264957267
HPV_250523_run02	HPV019	HPV90_E6	67.28859060402685	1.0
HPV_250523_run02	KHCA149	HPV16_E6	5.357456140350878	0.9780701754385965
HPV_250523_run02	KHCA151	HPV53_E6	12.911827956989248	0.9956989247311828
HPV_250523_run02	KHCA151	HPV56_E6	4.476495726495727	0.8739316239316239
HPV_250523_run02	KHCA152	HPV16_E6	1.861842105263158	0.75
HPV_250523_run02	KHCA166	HPV56_E6	0.32264957264957267	0.32264957264957267
HPV_250523_run02	KHCA169	HPV56_E6	2.982905982905983	0.8653846153846154
HPV_250523_run02	KHCA179	HPV71_E6	6.16331096196868	0.9977628635346756
HPV_250523_run02	KHCA186	HPV70_E6	0.3165618448637317	0.3165618448637317
HPV_250523_run02	KHCA213	HPV18_E6	3.5849056603773586	0.9203354297693921
HPV_250523_run02	KHCA223	HPV66_E6	0.6217948717948718	0.43162393162393164
HPV_250523_run02	Undetermined	HPV71_E6	0.6711409395973155	0.6442953020134228
HPV_250523_run02	Undetermined	HPV90_E6	1.6890380313199105	0.8478747203579419
