# run_id	fastq_dir	sample_id	fastq_sample_id
04	input_reads/targeted-analysis-hpv16-hpv18/Fastq	KHCA-056	KHCA-056_S1_L001
04	input_reads/targeted-analysis-hpv16-hpv18/Fastq	KHCA-064	KHCA-064_S3_L001
04	input_reads/targeted-analysis-hpv16-hpv18/Fastq	KHCA-075	KHCA-075_S16_L001
04	input_reads/targeted-analysis-hpv16-hpv18/Fastq	KHCA-078	KHCA-078_S9_L001
04	input_reads/targeted-analysis-hpv16-hpv18/Fastq	KHCA-082	KHCA-082_S10_L001
04	input_reads/targeted-analysis-hpv16-hpv18/Fastq	KHCA-092	KHCA-092_S15_L001
04	input_reads/targeted-analysis-hpv16-hpv18/Fastq	KHCA-149	KHCA-149_S4_L001
04	input_reads/targeted-analysis-hpv16-hpv18/Fastq	KHCA-152	KHCA-152_S7_L001
04	input_reads/targeted-analysis-hpv16-hpv18/Fastq	KHCA-186	KHCA-186_S2_L001
04	input_reads/targeted-analysis-hpv16-hpv18/Fastq	KHCA-204	KHCA-204_S11_L001
04	input_reads/targeted-analysis-hpv16-hpv18/Fastq	KHCA-213	KHCA-213_S8_L001
04	input_reads/targeted-analysis-hpv16-hpv18/Fastq	KHCA-229	KHCA-229_S12_L001
04	input_reads/targeted-analysis-hpv16-hpv18/Fastq	KHCA-237	KHCA-237_S13_L001
04	input_reads/targeted-analysis-hpv16-hpv18/Fastq	KHCA-298	KHCA-298_S6_L001
04	input_reads/targeted-analysis-hpv16-hpv18/Fastq	KHCA-306	KHCA-306_S5_L001
04	input_reads/targeted-analysis-hpv16-hpv18/Fastq	KHCA-328	KHCA-328_S14_L001
04	input_reads/targeted-analysis-hpv16-hpv18/Fastq	Undetermined	Undetermined_S0_L001
