run_id	sample	strain	avg_cov_depth	avg_cov_breadth	E7_avg_cov_depth	E7_cov_breadth	E6_avg_cov_depth	E6_cov_breadth
HPV_11092024	KHCA-152	HPV16	237.73577030103718	0.9998735137869972	20.276094276094277	1.0	57.17763157894737	1.0
HPV_11092024	KHCA-152	HPV18	0.10640193458062874	0.09214712994781724	0.2389937106918239	0.2389937106918239	0.0	0.0
HPV_11092024	KHCA-149	HPV90	0.01892194696875389	0.01892194696875389	0.0	0.0	0.0	0.0
HPV_11092024	KHCA-149	HPV16	9084.630280799392	1.0	979.8316498316499	1.0	2372.0855263157896	1.0
HPV_11092024	KHCA-149	HPV70	0.00961416824794434	0.00961416824794434	0.0	0.0	0.0	0.0
HPV_11092024	KHCA-149	HPV18	0.029018709431080564	0.029018709431080564	0.0	0.0	0.0	0.0
HPV_11092024	KHCA-186	HPV74	0.019272220109040193	0.013820210472930139	0.0	0.0	0.0	0.0
HPV_11092024	KHCA-186	HPV58	9.679575664621677	0.4233128834355828	0.0	0.0	0.0	0.0
HPV_11092024	KHCA-186	HPV68	5.567374073127078	0.013295832267962158	0.0	0.0	0.0	0.0
HPV_11092024	KHCA-186	HPV16	3397.057930685555	1.0	313.85185185185185	1.0	724.3070175438596	1.0
HPV_11092024	KHCA-186	HPV70	1655.904870335231	0.9483870967741935	3.7484848484848485	0.6090909090909091	42.54716981132076	1.0
HPV_11092024	KHCA-186	HPV44	0.05821524320183838	0.01468147580748117	0.0	0.0	0.9271523178807947	0.22737306843267108
HPV_11092024	KHCA-186	HPV18	0.16342115311187477	0.12816596665393917	0.4528301886792453	0.25157232704402516	0.31865828092243187	0.2851153039832285
HPV_11092024	KHCA-186	HPV30	466.65690269994906	1.0	318.9811320754717	1.0	368.0995670995671	1.0
HPV_11092024	KHCA-186	HPV56	0.028425748884639897	0.010325047801147227	0.0	0.0	0.0	0.0
HPV_11092024	KHCA-082	HPV16	0.46066278775613456	0.15823425246648115	0.0	0.0	0.0	0.0
HPV_11092024	KHCA-082	HPV18	0.03869161257477409	0.03385516100292733	0.0	0.0	0.0	0.0
HPV_11092024	KHCA-204	HPV97	0.009690169577967615	0.009690169577967615	0.0	0.0	0.0	0.0
HPV_11092024	KHCA-204	HPV16	0.07690361750569188	0.07197065519858335	0.2558922558922559	0.2558922558922559	0.0	0.0
HPV_11092024	KHCA-204	HPV45	19.610333418172562	0.4846016798167473	13.672897196261681	0.9439252336448598	29.737945492662472	0.9958071278825996
HPV_11092024	KHCA-092	HPV16	0.6729066531748039	0.24310650139134835	0.0	0.0	0.05701754385964912	0.05701754385964912
HPV_11092024	KHCA-092	HPV18	0.04836451571846761	0.04645539009800178	0.0	0.0	0.0	0.0
