run_id	sample	strain	avg_cov_depth	avg_cov_breadth	E7_avg_cov_depth	E7_cov_breadth	E6_avg_cov_depth	E6_cov_breadth
HPV_150123_run01	KHCA-037	HPV39	1.3342269883824844	0.26260691944338055	0.0	0.0	0.36058700209643607	0.36058700209643607
HPV_150123_run01	KHCA-064	HPV58	0.037960122699386506	0.037960122699386506	0.0	0.0	0.0	0.0
HPV_150123_run01	KHCA-064	HPV31	1.141304347826087	0.42795753286147625	0.15488215488215487	0.13804713804713806	1.2266666666666666	0.6533333333333333
HPV_150123_run01	KHCA-064	HPV16	104.46610169491525	1.0	124.85858585858585	1.0	106.51973684210526	1.0
HPV_150123_run01	KHCA-064	HPV33	26.885826273865217	0.7941585535465925	2.54421768707483	0.6360544217687075	0.36666666666666664	0.36666666666666664
HPV_150123_run01	KHCA-078	HPV18	0.03830978745068092	0.03830978745068092	0.0	0.0	0.0	0.0
HPV_150123_run01	KHCA-025	HPV86	0.07503444820243016	0.0712764624827759	0.0	0.0	0.0	0.0
HPV_150123_run01	KHCA-136	HPV71	62.233793704118455	1.0	54.62105263157895	1.0	52.40939597315436	1.0
HPV_150123_run01	KHCA-136	HPV74	0.02079371117028021	0.010396855585140105	0.0	0.0	0.0	0.0
HPV_150123_run01	KHCA-123	HPV33	32.451258060437475	0.7277784802124162	4.860544217687075	0.7993197278911565	0.3466666666666667	0.3466666666666667
HPV_150123_run01	KHCA-029	HPV90	0.49470932403834184	0.2844516369973858	0.0	0.0	0.6711409395973155	0.6711409395973155
HPV_150123_run01	KHCA-029	HPV51	0.6853227459016393	0.2152920081967213	0.0	0.0	0.0	0.0
HPV_150123_run01	KHCA-075	HPV18	425.25544100801835	1.0	441.8836477987421	1.0	316.57023060796644	1.0
HPV_150123_run01	KHCA-075	HPV45	0.08679053194196996	0.08170017816238229	0.0	0.0	0.0	0.0
HPV_150123_run01	KHCA-105	HPV66	0.6694785276073619	0.2898773006134969	0.0	0.0	0.0	0.0
HPV_150123_run01	HVP-110	HPV16	0.10194788768024285	0.050973943840121425	0.0	0.0	0.0	0.0
